Category,Aspect,Original_Human_Experiment,AI_Implementation,Deviation_Type,Necessity_Classification,Motivation_Source
Participant Characteristics,Participant Type,Human subjects (university students),LLM-based AI agents (GPT-4o/other models),Assumption,Necessary,Thesis: fundamental premise of MAAI research
Participant Characteristics,Participant Quantity,Groups of 5 subjects,Groups of 5 AI agents (configurable, minimum 2),Design Choice,Design-Contingent,Thesis: maintains group size for comparability
Participant Characteristics,Participant Personality,Natural human variation,Configurable personas (personalities and backstories defined in YAML),Addition,Voluntary,Codebase: AgentConfiguration allows personality customization
Participant Characteristics,Participant Memory,Human biological memory with natural limitations,Computational memory with explicit character limits (default 50,000) requiring truncation and compression,Formalization,Necessary,Codebase: MemoryService manages limits to prevent context overflow
Participant Characteristics,Participant Language,Single language (English in original study),Multilingual support (English/Spanish/Mandarin) with cultural adaptation,Addition,Voluntary,Codebase: translation system and language_manager.py
Participant Characteristics,Cognitive Process Visibility,Not observable (internal human thought),Optional internal reasoning prompts for strategic planning,Addition,Voluntary,Codebase: Chain of Thought reasoning in prompts
Experimental Setup,Physical Environment,Laboratory setting with physical presence,Computational environment (OpenAI Agents SDK),Assumption,Necessary,Thesis: digital environment required for AI agents
Experimental Setup,Payment Mechanism,Real monetary payment based on chosen principle,Counterfactual analysis presented to agents (no actual payment),Formalization,Necessary,Codebase: CounterfactualsService calculates hypothetical outcomes
Experimental Setup,Experiment Duration,Variable duration based on group discussion dynamics,Fixed maximum rounds (default 10) with configurable limits,Formalization,Design-Contingent,Thesis Table 2: explicit deviation for computational tractability
Experimental Setup,Configuration,Fixed experimental protocol,YAML-driven configuration system enabling parametric variation,Addition,Necessary,Codebase: ExperimentConfiguration model allows parametric variation
Experimental Setup,Reproducibility Controls,Standard experimental controls,Explicit seed configuration for deterministic reproduction enabling exact replication,Addition,Voluntary,Codebase: seed parameter in configuration and SeedManager
Phase 1 Design,Comprehension Test,Comprehension test administered to verify understanding,Comprehension test omitted,Removal,Voluntary,Thesis Table 2: explicit deviation - omitted in MAAI implementation
Phase 1 Design,Individual Deliberation Structure,Subjects review materials and form opinions,Four-stage process: initial ranking → explanation → post-explanation ranking → application rounds → final ranking,Formalization,Design-Contingent,Codebase: Phase1Manager implements structured workflow
Phase 1 Design,Principle Familiarization,Subjects read about principles,Agents receive principle descriptions via structured text prompts with explanations,Formalization,Necessary,Codebase: english_prompts.json contains structured principle descriptions
Phase 1 Design,Income Information Timing,Subjects learn their income class,Agents receive income class assignment in structured format,Formalization,Necessary,Codebase: income assignment prompts in Phase 1
Phase 1 Design,Application Rounds,Not explicitly structured,Agents apply principles to scenarios with explicit principle choice and constraint specification,Formalization,Design-Contingent,Codebase: Phase 1 includes application_rounds stage
Phase 1 Design,Ranking Collection,Initial and final rankings collected,Explicit tracking of three ranking stages: initial ranking, post-explanation ranking, final ranking,Addition,Voluntary,Codebase: Phase1Manager tracks all ranking stages
Phase 1 Design,Outcome Presentation,Subjects receive outcome information,Structured results presentation with chosen distribution, assigned class, earnings, and counterfactual earnings under all principles,Addition,Voluntary,Codebase: Phase1Manager builds comprehensive results
Phase 2 Design,Discussion Format,Free-form group discussion,Turn-based sequential speaking with enforced equal turns and finisher restrictions,Formalization,Design-Contingent,Thesis Table 2: equal turns; Codebase: SpeakingOrderService
Phase 2 Design,Round Structure,Continuous discussion until consensus,Fixed rounds with all agents speaking once per round: internal reasoning → public statement → voting initiation check,Formalization,Design-Contingent,Thesis Table 2: computational tractability
Phase 2 Design,Discussion History,Natural memory recall,Explicit public history with character limits (default 50,000, configurable up to 100,000) and memory continuity from Phase 1,Formalization,Necessary,Codebase: Phase2Settings.public_history_max_length and Phase2Manager receives phase1_results
Phase 2 Design,Statement Validation,Natural speech without constraints,Minimum statement lengths (10 chars English, 5 chars CJK) with retry mechanisms,Addition,Design-Contingent,Codebase: DiscussionService validates statement length
Phase 2 Design,Discussion Prompts,Natural group discussion prompts from experimenter,Structured prompts with group composition, discussion history, memory, and internal reasoning context,Formalization,Necessary,Codebase: DiscussionService.build_discussion_prompt()
Voting Mechanism,Consensus Process,Verbal consensus through discussion,Formal two-stage secret ballot with numerical validation requiring unanimous agreement on principle and constraint amount,Formalization,Design-Contingent,Thesis: structured voting; Codebase: TwoStageVotingManager
Voting Mechanism,Vote Initiation,Natural emergence of consensus,Explicit vote initiation prompt at end of rounds: "Do you want to initiate voting? (1=Yes/0=No)" asked sequentially,Formalization,Design-Contingent,Codebase: VotingService.initiate_voting()
Voting Mechanism,Vote Confirmation,Verbal agreement,Structured confirmation phase (1=Yes 0=No) requiring unanimous consent,Addition,Design-Contingent,Codebase: VotingService.coordinate_voting_confirmation()
Voting Mechanism,Ballot Format,Verbal statement of preference,Stage 1: Numerical principle selection (1-4); Stage 2: Constraint amount (positive integer),Formalization,Necessary,Codebase: deterministic numerical input parsing
Voting Mechanism,Vote Privacy,Public discussion leading to consensus,Secret ballot mechanism (though agents may not perceive privacy),Addition,Design-Contingent,Codebase: VotingService.coordinate_secret_ballot()
Communication Structure,Communication Mode,Face-to-face verbal discussion,Text-based prompt-response interactions,Assumption,Necessary,Thesis: fundamental constraint of LLM interaction
Communication Structure,Turn Taking,Natural interruption and overlap possible,Strict sequential turn-based system,Formalization,Necessary,Codebase: Phase2Manager coordinates sequential agent calls
Communication Structure,Non-verbal Cues,Body language and tone available,Text-only communication without non-verbal information,Removal,Necessary,Thesis: inherent limitation of text-based AI agents
Communication Structure,Group Awareness,Physical presence of all participants,Explicit group composition provided in prompts,Formalization,Necessary,Codebase: DiscussionService formats group composition
Data Presentation,Distribution Presentation,Physical chits or cards showing income distributions,Text-based table format in prompts showing distributions,Assumption,Necessary,Codebase: Technical requirement - AI agents process text, not physical materials
Data Presentation,Principle Descriptions,Written materials or verbal explanations,Text prompts with structured principle descriptions from JSON translation files,Formalization,Necessary,Codebase: translations/english_prompts.json
Income Distributions,Distribution Source,Four specific situations (A-D) from original study,Both original values mode (exact original distributions) and dynamic generation with multiplier ranges available,Addition,Voluntary,Codebase: original_values_data.py vs distribution_generator.py
Income Distributions,Probability Calculations,Original probability values,Recalculated probabilities with necessary assumptions for Situation C,Assumption,Necessary,Thesis: probability solution issues required assumptions
Income Distributions,Distribution Variation,Fixed four situations,Configurable base distributions with multiplier ranges (default 0.5-2.0x),Addition,Voluntary,Codebase: DistributionGenerator allows parametric variation
Income Distributions,Class Structure,Five income classes (high to low),Five income classes maintained with same structure,Design Choice,Design-Contingent,Codebase: maintains original five-class structure
Payoff Calculation,Payment Type,Real monetary payment to subjects,Counterfactual analysis without actual payment,Formalization,Necessary,Codebase: CounterfactualsService calculates hypothetical outcomes
Payoff Calculation,Payoff Presentation,Single actual payment received,Detailed counterfactual results showing all principle outcomes and constraint variations,Addition,Voluntary,Codebase: CounterfactualsService.format_detailed_results()
Payoff Calculation,Ranking Collection,Not collected post-payment,Final rankings collected after seeing counterfactual results,Addition,Voluntary,Codebase: CounterfactualsService.collect_final_rankings()
Payoff Calculation,Results Transparency,Subjects know their actual payment,Agents see outcomes under all four principles simultaneously with comprehensive counterfactual analysis,Addition,Voluntary,Codebase: comprehensive counterfactual presentation
Principle Constraints,Constraint Specification,Range of constraint values with manual verification,Specific constraint values validated and constrained (positive integers) with automated validation and tolerance parameters,Formalization,Design-Contingent,Codebase: numerical validation in TwoStageVotingManager and Phase2Settings.constraint_tolerance
Principle Constraints,Novel Principles,Subjects could propose novel principles,Novel principles explicitly restricted,Removal,Voluntary,Thesis Table 2: explicit deviation - novel principles not allowed
Language and Prompts,Experimenter Instructions,Verbal instructions from human experimenter,Structured JSON prompts for all experimental stages,Formalization,Necessary,Codebase: translations/english_prompts.json
Language and Prompts,Veil of Ignorance Framing,Conceptual explanation by experimenter,Explicit veil of ignorance reinforcement in prompts,Formalization,Design-Contingent,Codebase: prompts emphasize original position perspective
Language and Prompts,Question Asking,Natural questions to experimenter,Not explicitly supported in agent interactions,Removal,Design-Contingent,Codebase: no dedicated question-answering mechanism
Language and Prompts,Clarification Mechanism,Experimenter available for clarification,Retry prompts with additional context on failures,Formalization,Necessary,Codebase: validation and retry mechanisms
Novel Elements,Manipulator Agents,Not present in original design,Manipulator agents for hypothesis testing (e.g. advocate specific principles),Addition,Voluntary,Codebase: manipulator configurations in hypothesis_testing/
Novel Elements,Preference Aggregation,Not in original experiment,PreferenceAggregationService for computing manipulator targets via Borda count,Addition,Voluntary,Codebase: Addition for Hypothesis 3 experimental design
Novel Elements,Intelligence Asymmetry,Original used homogeneous participants,Configurable model selection per agent enabling high/low capability manipulators,Addition,Voluntary,Codebase: Addition for Hypothesis 3 testing
Novel Elements,Cultural Variations,Single cultural context (American university students),Explicit cultural adaptation testing (American/Chinese variations),Addition,Voluntary,Codebase: hypothesis_2/ cultural variations
Novel Elements,Inequality Variations,Fixed distributions,Systematic inequality variation testing (low/medium/high),Addition,Voluntary,Codebase: hypothesis_3/ inequality variations
Novel Elements,Statistical Analysis Integration,Manual statistical analysis,Integrated Fisher-Freeman-Halton exact test framework,Addition,Voluntary,Thesis: statistical testing of hypotheses
