Category;Aspect;Original_Human_Experiment;AI_Implementation;Deviation_Type;Necessity_Classification;Motivation_Source
Participant Characteristics;Participant Type;Human subjects (university students);LLM-based AI agents (GPT-4o/other models);Assumption;Necessary;Thesis: fundamental premise of MAAI research
Participant Characteristics;Participant Quantity;Groups of 5 subjects;Groups of 5 AI agents (configurable);Design Choice;Design-Contingent;Thesis: maintains group size for comparability
Participant Characteristics;Participant Personality;Natural human variation;Configurable personas (personalities and backstories defined in YAML);Addition;Voluntary;Codebase: AgentConfiguration allows personality customization
Participant Characteristics;Participant Memory;Human biological memory with natural limitations;Computational memory with explicit character limits and compression;Formalization;Necessary;Codebase: MemoryService manages limits to prevent context overflow
Participant Characteristics;Participant Language;Single language (English in original study);Multilingual support (English/Spanish/Mandarin);Addition;Voluntary;Codebase: translation system and language_manager.py
Participant Characteristics;Cognitive Process Visibility;Not observable (internal human thought);Optional internal reasoning prompts for strategic planning;Addition;Voluntary;Codebase: Chain of Thought reasoning in prompts
Experimental Setup;Physical Environment;Laboratory setting with physical presence;Computational environment (OpenAI Agents SDK);Assumption;Necessary;Thesis: digital environment required for AI agents
Experimental Setup;Payment Mechanism;Real monetary payment based on chosen principle;Counterfactual analysis presented to agents (no actual payment);Formalization;Necessary;Codebase: CounterfactualsService calculates hypothetical payoffs
Experimental Setup;Experiment Duration;Variable duration based on group discussion dynamics;Fixed maximum rounds (default 10) with configurable limits;Formalization;Design-Contingent;Thesis Table 2: explicit deviation for computational tractability
Experimental Setup;Session Management;Single continuous session;Orchestrated phases with state management and trace contexts;Formalization;Necessary;Codebase: FrohlichExperimentManager coordinates phases
Experimental Setup;Configuration;Fixed experimental protocol;YAML-driven configuration with Pydantic validation;Addition;Necessary;Codebase: ExperimentConfiguration model allows parametric variation
Experimental Setup;Reproducibility Controls;Standard experimental controls;Explicit seed configuration for deterministic reproduction;Addition;Voluntary;Codebase: seed parameter in configuration
Phase 1 Design;Comprehension Test;Comprehension test administered to verify understanding;Comprehension test omitted;Removal;Voluntary;Thesis Table 2: explicit deviation - omitted in MAAI implementation
Phase 1 Design;Individual Deliberation Structure;Subjects review materials and form opinions;Five-stage process: initial ranking → principles explained to agents → post-explanation ranking → application rounds (4x) → final ranking;Formalization;Design-Contingent;Codebase: Phase1Manager implements structured workflow with passive principle explanation stage
Phase 1 Design;Principle Familiarization;Subjects read about principles;Agents receive principle descriptions via prompts with explanations;Formalization;Necessary;Codebase: english_prompts.json contains structured principle descriptions
Phase 1 Design;Income Information Timing;Subjects learn their income class;Agents receive income class assignment in structured format;Formalization;Necessary;Codebase: income assignment prompts in Phase 1
Phase 1 Design;Application Rounds;Not explicitly structured;Agents apply principles to scenarios; reasoning may be volunteered but not explicitly requested;Addition;Voluntary;Codebase: Phase 1 includes 4 application_rounds; utility agent opportunistically extracts reasoning if provided
Phase 1 Design;Ranking Changes;Initial and final rankings collected;Explicit tracking of ranking changes (initial, post-explanation, final); explanations not requested;Addition;Voluntary;Codebase: Phase1Manager tracks initial_ranking, post_explanation_ranking, and final_ranking
Phase 2 Design;Discussion Format;Free-form group discussion;Turn-based sequential speaking with finisher restrictions;Formalization;Design-Contingent;Thesis Table 2: equal turns; Codebase: SpeakingOrderService
Phase 2 Design;Speaking Order;Natural conversation flow;Randomized order with restrictions (finishers cannot speak consecutively);Formalization;Design-Contingent;Codebase: SpeakingOrderService.determine_speaking_order()
Phase 2 Design;Turn Equality;Natural participation variation;Enforced equal speaking opportunities across agents;Formalization;Voluntary;Thesis Table 2: explicit deviation to ensure balanced participation
Phase 2 Design;Discussion History Management;Natural memory recall;Explicit public history with character limits (default 100000);Formalization;Necessary;Codebase: Phase2Settings.public_history_max_length
Phase 2 Design;Statement Validation;Natural speech without constraints;Minimum statement lengths with retry mechanisms;Addition;Design-Contingent;Codebase: DiscussionService validates statement length
Phase 2 Design;Round Structure;Continuous discussion until consensus;Fixed rounds with all agents speaking once per round;Formalization;Design-Contingent;Thesis Table 2: computational tractability
Phase 2 Design;Memory Continuity;Natural memory from Phase 1;Explicit memory transfer from Phase 1 to Phase 2;Formalization;Necessary;Codebase: Phase2Manager receives phase1_results
Phase 2 Design;Discussion Prompts;Natural group discussion prompts from experimenter;Structured prompts with group composition and history context;Formalization;Necessary;Codebase: DiscussionService.build_discussion_prompt()
Voting Mechanism;Consensus Process;Verbal consensus through discussion;Formal two-stage secret ballot with numerical validation;Formalization;Design-Contingent;Thesis: structured voting; Codebase: TwoStageVotingManager
Voting Mechanism;Vote Initiation;Natural emergence of consensus;Explicit vote initiation prompt at end of rounds;Formalization;Design-Contingent;Codebase: VotingService.initiate_voting()
Voting Mechanism;Vote Confirmation;Verbal agreement;Structured confirmation phase (1=Yes 0=No) requiring unanimous consent;Addition;Design-Contingent;Codebase: VotingService.coordinate_voting_confirmation()
Voting Mechanism;Ballot Format;Verbal statement of preference;Stage 1: Numerical principle selection (1-4); Stage 2: Constraint amount;Formalization;Necessary;Codebase: deterministic numerical input parsing
Voting Mechanism;Vote Privacy;Public discussion leading to consensus;Secret ballot mechanism (though agents may not perceive privacy);Addition;Design-Contingent;Codebase: VotingService.coordinate_secret_ballot()
